"variable","GEOID","NAME","estimate","moe","label","concept"
"B28010_003","13","Georgia",3053778,14937,"Estimate!!Total:!!Has one or more types of computing devices:!!Desktop or laptop","COMPUTERS IN HOUSEHOLD"
"B28010_003","18","Indiana",1972025,10490,"Estimate!!Total:!!Has one or more types of computing devices:!!Desktop or laptop","COMPUTERS IN HOUSEHOLD"
"B28010_003","20","Kansas",892915,5333,"Estimate!!Total:!!Has one or more types of computing devices:!!Desktop or laptop","COMPUTERS IN HOUSEHOLD"
"B28010_003","02","Alaska",210361,1758,"Estimate!!Total:!!Has one or more types of computing devices:!!Desktop or laptop","COMPUTERS IN HOUSEHOLD"
"B28010_003","05","Arkansas",794954,5936,"Estimate!!Total:!!Has one or more types of computing devices:!!Desktop or laptop","COMPUTERS IN HOUSEHOLD"
"B28010_003","08","Colorado",1908287,5819,"Estimate!!Total:!!Has one or more types of computing devices:!!Desktop or laptop","COMPUTERS IN HOUSEHOLD"
"B28010_003","12","Florida",6582540,29254,"Estimate!!Total:!!Has one or more types of computing devices:!!Desktop or laptop","COMPUTERS IN HOUSEHOLD"
"B28010_003","15","Hawaii",388411,2797,"Estimate!!Total:!!Has one or more types of computing devices:!!Desktop or laptop","COMPUTERS IN HOUSEHOLD"
"B28010_003","19","Iowa",981780,5391,"Estimate!!Total:!!Has one or more types of computing devices:!!Desktop or laptop","COMPUTERS IN HOUSEHOLD"
"B28010_003","21","Kentucky",1259484,7522,"Estimate!!Total:!!Has one or more types of computing devices:!!Desktop or laptop","COMPUTERS IN HOUSEHOLD"
"B28010_003","23","Maine",457706,2893,"Estimate!!Total:!!Has one or more types of computing devices:!!Desktop or laptop","COMPUTERS IN HOUSEHOLD"
"B28010_003","27","Minnesota",1830675,6459,"Estimate!!Total:!!Has one or more types of computing devices:!!Desktop or laptop","COMPUTERS IN HOUSEHOLD"
"B28010_003","29","Missouri",1843032,9452,"Estimate!!Total:!!Has one or more types of computing devices:!!Desktop or laptop","COMPUTERS IN HOUSEHOLD"
"B28010_003","33","New Hampshire",458004,2943,"Estimate!!Total:!!Has one or more types of computing devices:!!Desktop or laptop","COMPUTERS IN HOUSEHOLD"
"B28010_003","39","Ohio",3629510,13990,"Estimate!!Total:!!Has one or more types of computing devices:!!Desktop or laptop","COMPUTERS IN HOUSEHOLD"
"B28010_003","41","Oregon",1388729,5907,"Estimate!!Total:!!Has one or more types of computing devices:!!Desktop or laptop","COMPUTERS IN HOUSEHOLD"
"B28010_003","22","Louisiana",1204737,9160,"Estimate!!Total:!!Has one or more types of computing devices:!!Desktop or laptop","COMPUTERS IN HOUSEHOLD"
"B28010_003","24","Maryland",1925133,6582,"Estimate!!Total:!!Has one or more types of computing devices:!!Desktop or laptop","COMPUTERS IN HOUSEHOLD"
"B28010_003","28","Mississippi",718804,5708,"Estimate!!Total:!!Has one or more types of computing devices:!!Desktop or laptop","COMPUTERS IN HOUSEHOLD"
"B28010_003","30","Montana",346341,3082,"Estimate!!Total:!!Has one or more types of computing devices:!!Desktop or laptop","COMPUTERS IN HOUSEHOLD"
"B28010_003","34","New Jersey",2803506,9573,"Estimate!!Total:!!Has one or more types of computing devices:!!Desktop or laptop","COMPUTERS IN HOUSEHOLD"
"B28010_003","40","Oklahoma",1084214,4457,"Estimate!!Total:!!Has one or more types of computing devices:!!Desktop or laptop","COMPUTERS IN HOUSEHOLD"
"B28010_003","42","Pennsylvania",3977293,12831,"Estimate!!Total:!!Has one or more types of computing devices:!!Desktop or laptop","COMPUTERS IN HOUSEHOLD"
"B28010_003","45","South Carolina",1466212,8787,"Estimate!!Total:!!Has one or more types of computing devices:!!Desktop or laptop","COMPUTERS IN HOUSEHOLD"
"B28010_003","25","Massachusetts",2238681,7061,"Estimate!!Total:!!Has one or more types of computing devices:!!Desktop or laptop","COMPUTERS IN HOUSEHOLD"
"B28010_003","51","Virginia",2637340,11338,"Estimate!!Total:!!Has one or more types of computing devices:!!Desktop or laptop","COMPUTERS IN HOUSEHOLD"
"B28010_003","31","Nebraska",602740,3614,"Estimate!!Total:!!Has one or more types of computing devices:!!Desktop or laptop","COMPUTERS IN HOUSEHOLD"
"B28010_003","35","New Mexico",581118,4767,"Estimate!!Total:!!Has one or more types of computing devices:!!Desktop or laptop","COMPUTERS IN HOUSEHOLD"
"B28010_003","37","North Carolina",3115482,14216,"Estimate!!Total:!!Has one or more types of computing devices:!!Desktop or laptop","COMPUTERS IN HOUSEHOLD"
"B28010_003","44","Rhode Island",333758,2689,"Estimate!!Total:!!Has one or more types of computing devices:!!Desktop or laptop","COMPUTERS IN HOUSEHOLD"
"B28010_003","46","South Dakota",267211,2060,"Estimate!!Total:!!Has one or more types of computing devices:!!Desktop or laptop","COMPUTERS IN HOUSEHOLD"
"B28010_003","26","Michigan",3065044,11564,"Estimate!!Total:!!Has one or more types of computing devices:!!Desktop or laptop","COMPUTERS IN HOUSEHOLD"
"B28010_003","53","Washington",2500224,7645,"Estimate!!Total:!!Has one or more types of computing devices:!!Desktop or laptop","COMPUTERS IN HOUSEHOLD"
"B28010_003","32","Nevada",919307,4329,"Estimate!!Total:!!Has one or more types of computing devices:!!Desktop or laptop","COMPUTERS IN HOUSEHOLD"
"B28010_003","36","New York",5949202,21096,"Estimate!!Total:!!Has one or more types of computing devices:!!Desktop or laptop","COMPUTERS IN HOUSEHOLD"
"B28010_003","38","North Dakota",248409,2219,"Estimate!!Total:!!Has one or more types of computing devices:!!Desktop or laptop","COMPUTERS IN HOUSEHOLD"
"B28010_003","56","Wyoming",185800,1914,"Estimate!!Total:!!Has one or more types of computing devices:!!Desktop or laptop","COMPUTERS IN HOUSEHOLD"
"B28010_003","47","Tennessee",1953137,10006,"Estimate!!Total:!!Has one or more types of computing devices:!!Desktop or laptop","COMPUTERS IN HOUSEHOLD"
"B28010_003","49","Utah",909640,4027,"Estimate!!Total:!!Has one or more types of computing devices:!!Desktop or laptop","COMPUTERS IN HOUSEHOLD"
"B28010_003","54","West Virginia",490022,3835,"Estimate!!Total:!!Has one or more types of computing devices:!!Desktop or laptop","COMPUTERS IN HOUSEHOLD"
"B28010_003","48","Texas",7897276,29376,"Estimate!!Total:!!Has one or more types of computing devices:!!Desktop or laptop","COMPUTERS IN HOUSEHOLD"
"B28010_003","50","Vermont",216309,1657,"Estimate!!Total:!!Has one or more types of computing devices:!!Desktop or laptop","COMPUTERS IN HOUSEHOLD"
"B28010_003","55","Wisconsin",1892414,8085,"Estimate!!Total:!!Has one or more types of computing devices:!!Desktop or laptop","COMPUTERS IN HOUSEHOLD"
